"7,8",Feeds (feeds),"Aggregates RSS/Atom/RDF feeds, imports CSV files and more.",Feeds,feeds,https://drupal.org/project/feeds
7,Fences (fences),Configurable field wrappers,Fences ,fences,https://drupal.org/project/fences
7,Field Formatter Class (field_formatter_class),Allows custom HTML classes for field formatters.,Field Formatter Class ,field_formatter_class,https://drupal.org/project/field_formatter_class
7,Field formatter CSS class (field_formatter_css_class),Adds a formatter for text/list/term-reference fields to render as CSS classes on nodes.,Field formatter CSS class ,field_formatter_css_class,https://drupal.org/project/field_formatter_css_class
7,Field formatter settings API (field_formatter_settings),Provides missing alter hooks for field formatter settings and summaries,Field formatter settings API ,field_formatter_settings,https://drupal.org/project/field_formatter_settings
7,Field Group (field_group),Provides the ability to group your fields on both form and display.,Field Group ,field_group,https://drupal.org/project/field_group
7,Field Slideshow (field_slideshow),Provides a Slideshow format for displaying Image or Media fields.,Field Slideshow ,field_slideshow,https://drupal.org/project/field_slideshow
7,File Depot (filedepot),Full featured Document Management module,File Depot ,filedepot,https://drupal.org/project/filedepot
7,File Entity (file_entity),Extends Drupal file entities to be fieldable and viewable.,File Entity ,file_entity,https://drupal.org/project/file_entity
7,FitVids (fitvids),jQuery plugin for fluid width video embeds.,FitVids ,fitvids,https://drupal.org/project/fitvids
7,Follow (follow),Add sitewide and per user links to social network profiles.,Follow ,follow,https://drupal.org/project/follow
8,Full Calendar View Plugin (fullcalendar_view),A view plugin to present contents in FullCalendar view,Full Calendar View Plugin ,fullcalendar_view,https://drupal.org/project/fullcalendar_view
8,Generate Password (genpass),Generate a password when adding a new user.,Generate Password ,genpass,https://drupal.org/project/genpass
7,Geocoder (geocoder),An API and widget to geocode various known data into other GIS data types.,Geocoder ,geocoder,https://drupal.org/project/geocoder
7,Geofield (geofield),"Stores geographic and location data (points, lines, and polygons).",Geofield,geofield,https://drupal.org/project/geofield
7,geoPHP (geophp),Wraps the geoPHP library: advanced geometry operations in PHP,geoPHP ,geophp,https://drupal.org/project/geophp
7,Global Redirect (globalredirect),Searches for an alias of the current URL and 301 redirects if found. Stops duplicate content arising when path module is enabled.,Global Redirect ,globalredirect,https://drupal.org/project/globalredirect
7,Google Analytics (googleanalytics),Allows your site to be tracked by Google Analytics by adding a Javascript tracking code to every page.,Google Analytics ,googleanalytics,https://drupal.org/project/googleanalytics
7,Google Tag Manager (google_tag),Allows your website analytics to be managed using Google Tag Manager.,Google Tag Manager ,google_tag,https://drupal.org/project/google_tag
7,HTTP Parallel Request Library (httprl),Send http requests out in parallel in a blocking or non-blocking manner.,HTTP Parallel Request Library ,httprl,https://drupal.org/project/httprl
7,Image URL Formatter (image_url_formatter),Add an URL formatter for image field,Image URL Formatter ,image_url_formatter,https://drupal.org/project/image_url_formatter
7,IMCE for File Field (imce_filefield),Allows users to select files from IMCE File Browser for file fields.,IMCE for File Field ,imce_filefield,https://drupal.org/project/imce_filefield
7,IMCE Mkdir (imce_mkdir),Allows users manage directories in IMCE,IMCE Mkdir ,imce_mkdir,https://drupal.org/project/imce_mkdir
7,IMCE Wysiwyg API bridge (imce_wysiwyg),Makes IMCE available as plugin for client-side editors integrated via Wysiwyg API.,IMCE Wysiwyg API bridge ,imce_wysiwyg,https://drupal.org/project/imce_wysiwyg
7,IMCE (imce),An image/file uploader and browser supporting personal directories and user quota.,IMCE ,imce,https://drupal.org/project/imce
7,Insert (insert),"Assists in inserting files, images, or other media into the body field or other text areas.",Insert ,insert,https://drupal.org/project/insert
7,jCarousel (jcarousel),Create jQuery-based carousel rotators.,jCarousel ,jcarousel,https://drupal.org/project/jcarousel
7,Job Scheduler Trigger (job_scheduler_trigger),"Creates scheduler triggers that fire up at certain days, times",Job Scheduler Trigger,job_scheduler_trigger,https://drupal.org/project/job_scheduler_trigger
7,jQuery Multi (jqmulti),"Runs a second version of jQuery in parallel to Drupal's version, and allows for targeting of files and libraries to the second version.",jQuery Multi ,jqmulti,https://drupal.org/project/jqmulti
7,jQuery UI filter (jquery_ui_filter),Converts static HTML to a JQuery UI Accordian or Tabs widget.,jQuery UI filter ,jquery_ui_filter,https://drupal.org/project/jquery_ui_filter
7,jQuery Update (jquery_update),Update jQuery and jQuery UI to a more recent version.,jQuery Update ,jquery_update,https://drupal.org/project/jquery_update
"7,8",JSON:API (jsonapi),Exposes entities as a JSON:API-specification-compliant web API.,JSON:API ,jsonapi,https://drupal.org/project/jsonapi
7,Juicebox (juicebox),Provides an integration between the Juicebox HTML5 responsive gallery library and Drupal.,Juicebox ,juicebox,https://drupal.org/project/juicebox
"7,8",LDAP (ldap),Implements LDAP Authentication,LDAP,ldap,https://drupal.org/project/ldap
7,Login Destination (login_destination),Customize the destination that the user is redirected to after login.,Login Destination ,login_destination,https://drupal.org/project/login_destination
7,Mail System (mailsystem),Provides a user interface for per-module and site-wide mail_system selection.,Mail System ,mailsystem,https://drupal.org/project/mailsystem
7,Media (media),Provides the core Media API,Media ,media,https://drupal.org/project/media
7,Menu attributes (menu_attributes),Allows administrators to specify custom attributes for menu items.,Menu attributes ,menu_attributes,https://drupal.org/project/menu_attributes
7,Menu Block (menu_block),Provides configurable blocks of menu items.,Menu Block ,menu_block,https://drupal.org/project/menu_block
8,Merci (merci),Core functions for Managed Equipment Reservation Checkout and Inventory,Merci ,merci,https://drupal.org/project/merci
7,Meta tags (quick) (metatags_quick),Meta tags support build using FieldAPI/EntityAPI,Meta tags ,quick,https://drupal.org/project/quick
8,Migrate Plus (migrate_plus),Enhancements to core migration support,Migrate Plus ,migrate_plus,https://drupal.org/project/migrate_plus
8,Migrate Source CSV (migrate_source_csv),CSV source migration,Migrate Source CSV ,migrate_source_csv,https://drupal.org/project/migrate_source_csv
8,Migrate Tools (migrate_tools),Tools to assist in developing and running migrations.,Migrate Tools ,migrate_tools,https://drupal.org/project/migrate_tools
7,Module filter (module_filter),Filter the modules list.,Module filter ,module_filter,https://drupal.org/project/module_filter
8,Multiselect (multiselect),"Defines a multiple selection field widget, to allow easier multi-selection for users.",Multiselect,multiselect,https://drupal.org/project/multiselect
"7,8",No Request New Pass (noreqnewpass),Disable link to request a new password,No Request New Pass ,noreqnewpass,https://drupal.org/project/noreqnewpass
7,Office hours (office_hours),"Defines a 'weekly office hours' field type, allowing you to specify when an Entity is open or closed.",Office hours ,office_hours,https://drupal.org/project/office_hours
"7,8",Organic Groups (og),API to allow associating content with groups.,Organic Groups ,og,https://drupal.org/project/og
7,Page Title (page_title),Enhanced control over the page title (in the <head> tag),Page Title ,page_title,https://drupal.org/project/page_title
7,Password policy (password_policy),The Password Policy module allows you to enforce a specific level of password complexity for the user passwords on the system.,Password policy ,password_policy,https://drupal.org/project/password_policy
7,Pathauto (pathauto),Provides a mechanism for modules to automatically generate aliases for the content they manage.,Pathauto ,pathauto,https://drupal.org/project/pathauto
7,Permission Select (permission_select),Gives select all/deselect all options on the permissions section of the Drupal admin.,Permission Select ,permission_select,https://drupal.org/project/permission_select
"7,8",PHP filter (php),Allows embedded PHP code/snippets to be evaluated.,PHP filter ,php,https://drupal.org/project/php
8,Real name (realname),Provides token-based name displays for users.,Real name ,realname,https://drupal.org/project/realname
7,reCAPTCHA (recaptcha),Protect your website from spam and abuse while letting real people pass through with ease.,reCAPTCHA ,recaptcha,https://drupal.org/project/recaptcha
7,Redirect (redirect),Allows users to redirect from old URLs to new URLs.,Redirect ,redirect,https://drupal.org/project/redirect
7,Registration (registration),Entity based registration system.,Registration ,registration,https://drupal.org/project/registration
7,Registry Autoload (registry_autoload),Adds support for PSR-0 and PSR-4 to the Drupal 7 core registry.,Registry Autoload ,registry_autoload,https://drupal.org/project/registry_autoload
7,Responsive Menus (responsive_menus),Responsify any menu using CSS Selectors.,Responsive Menus ,responsive_menus,https://drupal.org/project/responsive_menus
7,RESTful (restful),"Turn Drupal to a RESTful server, following best practices.",RESTful,restful,https://drupal.org/project/restful
8,RoleAssign (roleassign),Allows site administrators to further delegate the task of managing user's roles.,RoleAssign ,roleassign,https://drupal.org/project/roleassign
7,Rules (rules),React on events and conditionally evaluate actions.,Rules ,rules,https://drupal.org/project/rules
7,Scheduler (scheduler),This module allows nodes to be published and unpublished on specified dates and time.,Scheduler ,scheduler,https://drupal.org/project/scheduler
7,Search API autocomplete (search_api_autocomplete),Adds autocomplete functionality to searches.,Search API autocomplete ,search_api_autocomplete,https://drupal.org/project/search_api_autocomplete
7,Search API (search_api),Provides a generic API for modules offering search capabilities.,Search API ,search_api,https://drupal.org/project/search_api
7,Secure Site (securesite),Enables HTTP Auth security or an HTML form to restrict site access.,Secure Site ,securesite,https://drupal.org/project/securesite
7,Select (or other) (select_or_other),Provides a select box form element with additional option 'Other' to give a textfield.,Select,or other,https://drupal.org/project/or other
7,SEO Checklist (seo_checklist),A Search Engine Optimization checklist for Drupal.,SEO Checklist ,seo_checklist,https://drupal.org/project/seo_checklist
7,Slider Revolution (revslider),Provides a UI that config to displays content as a Slider Revolution. This is an API and requires Slider Revolution Resonsive jquery plugin.,Slider Revolution ,revslider,https://drupal.org/project/revslider
7,Smart Trim (smart_trim),"Provides a more robust alternative to ""summary or trimmed"" textfield format",Smart Trim ,smart_trim,https://drupal.org/project/smart_trim
7,Sooperthemes Glazed Builder (glazed_builder),Visual Drag and Drop Page Builder based on Bootstrap Framework,Sooperthemes Glazed Builder ,glazed_builder,https://drupal.org/project/glazed_builder
7,Sooperthemes Glazed Portfolio (glazed_portfolio),Glazed Premium Portfolio Views,Sooperthemes Glazed Portfolio ,glazed_portfolio,https://drupal.org/project/glazed_portfolio
7,SooperThemes GridStack (sooperthemes_gridstack),SooperThemes GridStack Views,SooperThemes GridStack ,sooperthemes_gridstack,https://drupal.org/project/sooperthemes_gridstack
7,String Overrides (stringoverrides),Provides a quick and easy way of replacing text.,String Overrides ,stringoverrides,https://drupal.org/project/stringoverrides
7,Styles (styles),Bundles similar display formatters together.,Styles ,styles,https://drupal.org/project/styles
7,TagClouds (tagclouds),TagClouds makes weighted tag clouds from your taxonomy terms.,TagClouds ,tagclouds,https://drupal.org/project/tagclouds
"7,8",Tamper (feeds_tamper),Generic plugin to modify data.,Tamper ,feeds_tamper,https://drupal.org/project/feeds_tamper
